TownNumber,TownName,Potential,TotalVotes,PercentVote,Qualified,Disqualified,Avoda,Or,BaitYehudi,YahadutHatora,Balad,MeimadYarukim,Hadash,Gimlaim,EfraimSne,IhudLeumi,Israelim,Lev,NizolimAndAle,Kadima,IsraelBeytenu,Likud,Merez,Nudelman,RuahHadasha,Lazuz,LojmeiHevra,Raam,Koah,Koah.1,Brit,Gever,Zomet,Zabar,Daam,AleYarok,Koah.2,Lidar,Yarok,Shas
9200,בית שאן,12724,7157,56.25,7051,106,376,3,265,113,3,12,4,22,3,274,0,0,2,743,549,2900,23,6,2,4,2,13,67,0,4,1,6,6,2,20,3,3,6,1614
168,כפר יונה,10790,7117,65.96,7039,78,709,0,128,46,2,46,11,28,22,126,1,0,4,2635,635,1879,129,4,0,3,0,1,37,0,3,4,2,8,5,20,3,0,42,506
1020,אור עקיבא,13704,7036,51.34,6913,123,203,2,203,41,9,9,4,38,10,98,1,6,2,1047,1889,2363,33,7,2,1,2,3,2,0,3,5,2,5,8,26,1,8,11,869
229,גני תקווה,9699,6982,71.99,6925,57,1046,1,254,190,2,32,15,39,14,175,0,1,2,2184,305,1663,213,3,3,0,1,0,5,0,3,0,1,5,2,26,1,0,39,700
654,כפר קרע,9150,6363,69.54,6315,48,56,0,13,0,3566,5,986,0,21,5,1,0,0,116,2,8,46,0,0,2,0,1340,2,0,1,3,7,3,89,0,3,2,1,37
509,כפר כנא,10269,5964,58.08,5897,67,15,2,0,12,2358,0,1746,3,2,3,2,0,1,39,12,56,53,0,0,6,0,1463,11,0,0,1,9,2,6,1,0,3,4,87
638,קלנסווה,9850,5776,58.64,5714,62,17,0,0,0,1343,0,1772,0,0,5,0,0,0,6,4,6,61,0,0,1,0,2443,34,0,1,1,4,1,2,1,0,1,0,11
9800,בנימינה-גבעת עדה,7877,5699,72.35,5643,56,970,1,145,14,1,145,23,20,13,83,1,2,1,2201,370,1026,325,1,0,0,0,3,3,0,0,0,2,10,1,36,0,0,19,227
1224,כוכב יאיר,7525,5648,75.06,5625,23,902,2,271,6,0,73,12,24,5,128,0,1,3,2119,338,1348,276,0,2,0,0,0,3,0,0,1,2,15,1,24,0,0,32,37
510,כפר מנדא,8229,5607,68.14,5458,149,110,0,0,0,1369,0,1324,0,3,3,2,0,2,59,2,11,8,0,0,0,1,1836,2,0,0,3,5,0,133,0,4,3,0,578
637,ערערה,9672,5429,56.13,5386,43,6,0,0,1,2367,8,1109,1,0,2,2,0,0,12,4,8,74,1,1,4,1,1734,1,0,0,6,8,4,21,2,1,2,1,5
182,אבן יהודה,7508,5352,71.28,5319,33,998,1,124,38,0,50,16,31,12,73,0,0,3,2108,263,1096,263,0,1,0,0,2,6,0,0,1,3,5,1,26,1,0,24,173
3730,גבעת זאב,7663,5314,69.35,5262,52,231,1,144,159,1,50,1,29,6,298,1,0,8,895,463,2294,50,1,0,1,0,0,3,0,1,0,4,8,0,21,0,2,34,556
565,אזור,8438,5293,62.73,5206,87,608,1,96,41,1,18,5,31,23,71,3,0,10,1651,652,1467,90,8,0,0,3,2,3,0,0,0,0,4,2,24,0,0,20,372
502,ירכא,7742,5176,66.86,5062,114,850,2,4,0,194,1,502,2,6,1,4,1,3,385,1058,449,14,0,1,0,0,6,0,0,2,1,191,3,8,12,0,11,7,1344
1292,ג'דיידה-מכר,10566,5118,48.44,5047,71,19,1,3,3,1991,3,1510,3,1,9,1,1,2,23,9,7,35,3,0,4,0,1387,2,0,2,0,3,2,5,3,2,2,2,9
154,תל מונד,6768,4890,72.25,4852,38,774,1,97,20,0,45,5,13,12,58,0,0,1,1919,251,1139,153,1,1,0,2,4,11,0,0,1,1,6,2,19,1,0,25,290
28,מזכרת בתיה,6707,4791,71.43,4752,39,761,0,120,16,0,88,4,7,14,79,0,0,4,1705,346,1144,187,2,2,0,0,0,1,0,1,2,0,6,2,18,0,0,23,220
480,בית ג'ן,6620,4710,71.15,4678,32,668,1,17,1,971,0,94,6,6,1,1,0,2,1143,698,463,148,0,0,0,1,2,0,0,0,0,14,1,2,10,0,2,1,425
504,כאבול,5779,4639,80.27,4605,34,0,0,0,0,1346,0,2037,0,1,2,3,0,0,17,4,8,2,1,0,1,0,1173,1,0,0,0,7,0,0,0,2,0,0,0
469,קרית עקרון,7337,4471,60.94,4397,74,342,4,182,19,4,13,4,18,6,166,0,2,3,833,532,1605,42,6,2,1,2,5,11,0,2,0,3,7,5,8,0,3,14,553
481,מגאר,11868,4365,36.78,4252,113,844,2,108,7,302,6,1017,3,4,4,3,1,1,525,311,336,49,3,0,2,1,511,2,0,3,2,6,4,10,14,4,2,2,163
499,יפיע,9724,4355,44.79,4274,81,163,1,0,31,775,0,2147,1,1,4,2,0,1,132,9,31,78,1,2,2,0,769,79,0,1,6,8,2,12,3,3,0,1,9
529,אעבלין,6843,4309,62.97,4242,67,164,0,1,4,768,1,1709,1,31,4,6,0,0,217,9,25,58,1,0,2,1,1200,1,0,1,2,10,0,6,6,3,3,1,7
473,אבו סנאן,7147,4203,58.81,4111,92,309,1,1,3,439,1,1592,5,0,5,2,0,0,292,158,295,61,0,2,2,2,789,0,0,0,4,2,3,6,3,2,1,2,129
666,עומר,5706,4178,73.22,4162,16,930,0,46,4,3,27,33,30,26,50,1,0,3,1496,268,842,328,0,0,0,0,3,0,0,0,0,0,5,0,17,1,0,15,34
522,נחף,5869,4116,70.13,4093,23,99,0,0,1,1128,9,914,1,0,3,6,0,0,22,0,9,10,0,0,0,0,1605,1,0,1,2,12,2,2,2,2,1,0,261
507,כפר יאסיף,6137,4115,67.05,4053,62,45,0,2,2,1584,0,1880,1,18,5,0,0,1,90,34,16,34,0,0,0,1,326,2,0,0,0,4,0,3,1,0,1,2,1
492,דייר חנא,5418,4001,73.85,3991,10,43,0,10,6,617,0,1908,0,22,1,0,0,1,107,2,13,6,0,1,0,1,1215,2,0,1,0,1,4,8,0,0,0,1,21
542,ריינה,8594,3973,46.23,3898,75,60,0,0,7,1003,0,1380,0,2,4,3,1,0,64,13,18,18,0,0,4,0,1179,7,0,1,1,1,0,13,0,1,4,0,114
2034,חצור הגלילית,6463,3931,60.82,3898,33,181,0,161,566,14,2,3,4,2,125,0,0,0,356,644,1174,7,1,0,0,1,3,6,0,0,1,3,2,1,5,0,2,3,631
498,טורעאן,6779,3904,57.59,3843,61,40,0,12,5,787,2,1825,4,4,1,4,0,0,35,1,95,19,0,0,1,0,951,0,0,11,0,4,1,4,1,1,0,0,35
3650,אפרתה,4928,3823,77.58,3811,12,13,0,845,16,1,68,4,1,0,1085,2,0,1,45,109,1502,7,0,6,0,0,0,1,0,0,0,0,1,1,3,0,1,2,97
1268,מיתר,5076,3730,73.48,3717,13,583,3,197,7,0,48,4,18,32,169,0,0,1,1306,293,808,146,0,0,0,0,4,1,0,0,1,0,1,4,13,1,0,15,62
1066,בני עיש,5589,3729,66.72,3632,97,177,1,83,19,10,6,7,4,6,68,1,4,4,445,1571,803,14,9,1,1,3,1,0,0,0,0,1,5,4,14,2,2,10,356
2530,באר יעקב,5786,3627,62.69,3573,54,309,1,136,81,0,15,8,15,6,90,0,0,3,1023,341,938,49,2,3,0,1,1,40,0,0,4,1,8,5,15,1,2,9,466
532,עין מאהל,6374,3562,55.88,3538,24,28,0,0,2,892,1,1255,1,0,2,8,1,1,18,0,27,8,1,0,0,2,1210,12,0,0,0,3,3,2,2,1,1,0,57
3750,אלפי מנשה,4733,3502,73.99,3480,22,284,0,38,13,0,30,0,9,10,78,0,0,1,1191,362,1307,39,0,0,1,0,1,1,0,1,0,0,11,0,11,2,0,19,71
922,רכסים,4481,3470,77.44,3441,29,31,0,52,1373,0,0,0,11,4,41,0,0,0,118,106,302,3,12,0,0,0,0,3,0,0,0,1,0,0,4,0,0,1,1379
831,ירוחם,6028,3393,56.29,3315,78,145,0,283,339,1,36,3,6,9,67,0,0,4,401,611,688,27,8,5,0,0,22,4,0,1,0,0,9,6,9,1,5,7,618
3640,קרני שומרון,4540,3322,73.17,3283,39,27,0,336,26,1,6,2,4,5,1065,1,0,0,154,378,1084,7,0,0,0,1,1,0,0,0,0,1,1,1,8,0,2,7,165
171,פרדסיה,4432,3286,74.14,3266,20,531,0,47,3,0,28,3,11,4,40,1,0,3,1438,139,693,96,0,0,0,0,0,8,0,0,0,0,9,0,8,0,0,25,179
122,רמת ישי,4469,3256,72.86,3249,7,516,1,36,4,0,44,6,9,9,64,0,0,2,1350,292,695,116,0,0,0,1,0,2,0,0,0,1,13,0,14,1,1,15,57
489,דבוריה,5136,3254,63.36,3221,33,60,0,2,2,985,0,735,1,1,2,4,2,0,31,4,4,11,1,0,0,1,1366,2,0,0,0,1,0,1,2,0,1,1,1
3760,אורנית,4212,3164,75.12,3147,17,304,0,133,13,0,29,3,11,6,102,0,0,2,1037,242,1089,58,0,1,0,0,0,3,0,0,0,0,7,0,20,0,0,32,55
1327,מעלה עירון,6907,3103,44.93,3056,47,17,0,1,2,1185,0,1022,1,0,4,3,0,1,33,11,9,26,0,1,0,0,707,0,0,1,3,5,1,6,5,3,1,1,7
1263,כפר ורדים,4205,3071,73.03,3059,12,607,0,32,5,1,68,19,11,9,41,0,0,0,1364,173,363,302,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,17,33
466,בית דגן,4364,3042,69.71,3007,35,211,1,70,55,0,12,3,13,3,106,2,0,1,826,199,1065,33,0,0,1,0,1,12,0,1,1,0,5,2,17,0,0,10,357
1271,להבים,4134,3035,73.42,3028,7,655,0,31,1,1,29,13,11,15,24,0,0,0,1202,202,614,153,0,0,0,0,4,1,0,1,0,0,3,1,13,1,0,19,34
4100,קצרין,5363,3028,56.46,2923,105,147,1,100,17,6,14,2,8,3,141,0,0,4,760,828,635,38,1,3,1,0,0,0,0,0,2,3,11,9,19,2,0,10,158
