TownNumber,TownName,Potential,TotalVotes,PercentVote,Qualified,Disqualified,Avoda,Or,BaitYehudi,YahadutHatora,Balad,MeimadYarukim,Hadash,Gimlaim,EfraimSne,IhudLeumi,Israelim,Lev,NizolimAndAle,Kadima,IsraelBeytenu,Likud,Merez,Nudelman,RuahHadasha,Lazuz,LojmeiHevra,Raam,Koah,Koah.1,Brit,Gever,Zomet,Zabar,Daam,AleYarok,Koah.2,Lidar,Yarok,Shas
812,שלומי,4490,2799,62.34,2745,54,166,0,112,11,2,0,5,10,4,59,0,0,1,616,737,699,12,3,0,0,0,1,1,0,0,4,0,4,0,13,0,0,12,273
478,אכסאל,6755,2766,40.95,2718,48,28,0,0,7,637,0,1073,0,1,1,4,1,0,36,2,5,46,2,1,1,0,829,15,0,1,2,5,1,10,3,3,0,0,4
627,ג'לג'וליה,4442,2746,61.82,2716,30,263,0,0,0,414,0,982,0,1,3,0,2,0,9,7,13,34,2,1,2,0,971,0,0,1,1,2,0,3,0,1,0,1,3
1296,כסרא-סמיע,4026,2732,67.86,2688,44,832,0,24,1,101,0,62,0,0,0,0,0,0,174,471,96,40,1,0,3,0,7,1,0,3,0,3,0,1,7,1,658,1,201
1192,ערערה-בנגב,4619,2709,58.65,2664,45,8,0,1,1,14,0,7,0,0,1,2,1,0,37,8,17,3,2,3,0,0,2534,1,0,1,1,1,1,4,6,3,0,0,7
3611,קרית ארבע,3979,2682,67.4,2655,27,13,0,98,11,1,4,2,2,0,1387,0,1,0,65,323,532,7,2,5,0,0,0,5,0,0,1,0,1,0,4,0,0,2,189
543,ראמה,5323,2626,49.33,2560,66,189,0,0,9,523,0,891,5,1,0,3,0,2,146,135,208,45,1,0,0,0,269,0,0,0,1,7,0,2,3,1,0,0,119
537,פוריידיס,6412,2524,39.36,2508,16,73,0,1,137,385,0,266,2,1,6,1,0,1,59,2,7,7,1,0,0,1,1331,1,0,0,2,1,1,5,6,2,0,0,209
482,בועיינה-נוג'ידאת,4473,2516,56.25,2463,53,144,1,1,1,948,0,525,1,45,1,0,1,0,56,6,7,45,0,2,0,0,659,1,0,0,0,8,0,4,0,3,0,0,4
53,עתלית,3843,2475,64.4,2443,32,294,0,134,9,0,28,4,12,5,32,0,0,1,758,249,644,52,2,0,1,0,0,0,0,0,0,0,1,4,6,0,1,9,197
3574,בית אל,2817,2420,85.91,2409,11,1,0,339,12,1,4,1,0,0,1644,0,0,0,2,24,294,1,1,0,0,0,0,4,0,0,0,0,1,0,6,0,0,2,72
530,עיילבון,3211,2344,73.0,2319,25,167,0,2,5,522,0,1276,1,10,0,3,0,0,101,9,62,74,0,1,1,0,69,0,0,0,2,0,0,2,4,0,2,0,6
1319,בת חפר,3108,2338,75.23,2324,14,349,5,44,4,0,37,3,7,3,42,0,0,3,1048,161,434,111,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,10,43
496,חורפיש,3404,2325,68.3,2301,24,1331,0,25,0,48,0,20,47,9,1,0,0,0,274,177,237,32,2,0,0,0,3,2,0,0,2,0,3,1,8,0,23,3,53
1326,בסמה,4408,2280,51.72,2224,56,17,1,0,1,424,1,881,3,9,0,2,1,0,25,2,5,15,0,0,1,0,818,0,0,2,1,7,1,2,2,1,0,0,2
1167,קיסריה,3380,2258,66.8,2244,14,401,1,38,1,0,28,5,7,2,11,0,0,0,992,105,502,106,0,0,1,0,0,2,0,1,0,1,2,0,15,1,0,8,14
538,שעב,3510,2215,63.11,2194,21,64,1,0,5,312,0,927,0,0,1,1,0,0,86,3,10,77,0,1,0,0,653,1,0,0,1,2,2,2,2,3,0,1,39
536,פקיעין (בוקייעה),3487,2179,62.49,2154,25,591,0,0,1,243,0,472,0,8,0,0,0,0,151,540,54,16,0,0,0,0,2,0,0,1,0,0,1,3,5,0,1,2,63
1054,תל שבע,5808,2155,37.1,2068,87,19,0,2,2,124,1,69,1,2,3,2,1,2,79,20,87,9,7,3,2,1,1553,3,0,1,4,4,10,4,6,1,1,2,43
3720,שערי תקווה,2747,2102,76.52,2083,19,74,0,202,10,0,11,1,4,3,208,5,0,0,350,179,948,18,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,11,50
587,סביון,3065,2081,67.9,2062,19,391,0,14,6,0,24,10,12,3,18,0,0,2,883,81,402,181,0,0,0,0,0,2,0,1,0,0,0,0,6,1,0,4,21
3779,כוכב יעקב,2639,2027,76.81,2004,23,1,0,47,236,0,1,0,0,0,547,0,0,0,1,25,183,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,2,954
1295,יאנוח-ג'ת,3344,2023,60.5,1998,25,488,0,0,4,54,0,46,1,22,0,0,0,0,432,295,513,16,0,1,1,0,0,0,0,23,0,7,0,0,4,0,1,0,90
1060,לקיה,4516,2013,44.57,1963,50,10,0,0,1,527,0,32,0,4,3,4,0,0,4,3,19,2,0,0,4,0,1320,1,0,1,2,5,3,2,0,0,6,2,8
520,משהד,3989,2010,50.39,1987,23,7,0,16,0,716,1,639,2,1,4,1,0,1,12,2,6,73,0,1,1,0,447,1,0,0,0,5,1,1,1,0,0,1,47
1113,צור הדסה,2643,1970,74.54,1956,14,285,2,26,5,0,80,27,6,4,27,0,0,0,600,159,544,139,0,0,1,1,0,0,0,0,0,0,4,0,5,0,1,9,31
696,כפר חב ד,3008,1960,65.16,1948,12,1,0,13,118,0,2,0,0,1,1400,0,0,1,1,21,170,2,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,1,200
99,מצפה רמון,3359,1889,56.24,1840,49,189,0,47,9,1,46,12,5,1,226,1,0,1,285,399,435,26,3,0,1,0,4,0,0,1,1,1,2,6,11,0,1,8,118
485,ג'ולס,3574,1876,52.49,1862,14,384,0,0,1,128,0,12,13,2,0,1,0,0,599,242,356,14,0,0,0,0,1,1,0,0,0,30,3,2,1,0,0,1,71
1059,כסיפה,5138,1863,36.26,1824,39,25,0,1,18,135,0,20,3,1,4,0,2,1,27,40,24,24,0,2,2,2,1442,1,0,0,6,2,1,5,6,2,1,2,25
3560,אלקנה,2194,1825,83.18,1819,6,3,0,775,7,0,4,1,3,0,443,0,0,0,20,48,471,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,36
3652,בית אריה,2399,1762,73.45,1749,13,58,0,27,5,0,13,0,6,1,46,2,0,0,359,200,945,15,0,1,1,0,1,1,0,0,1,0,1,0,6,0,0,10,50
3557,קדומים,2082,1716,82.42,1705,11,2,0,300,10,0,4,0,0,0,936,0,0,0,5,57,341,1,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,1,41
1290,זמר,3342,1689,50.54,1655,34,63,0,0,0,523,0,130,0,1,5,2,1,0,8,1,11,6,0,0,0,0,873,1,0,0,0,3,0,5,3,0,1,0,18
3769,הר אדר,2040,1621,79.46,1614,7,367,1,12,2,0,42,5,6,1,20,0,0,1,566,69,383,112,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,11
472,אבו גוש,3476,1553,44.68,1503,50,26,0,1,1,591,0,79,1,0,5,1,0,2,155,8,21,25,2,0,3,0,551,1,0,0,1,3,2,1,7,3,0,1,12
1247,קציר-חריש,2243,1524,67.94,1506,18,127,0,74,7,4,71,12,7,2,66,0,0,2,444,256,221,72,2,1,0,1,5,1,0,1,0,2,2,2,13,0,0,5,106
511,עילוט,3656,1515,41.44,1470,45,141,0,27,1,312,1,673,0,1,3,7,0,1,48,1,10,37,0,0,1,0,200,2,0,0,0,1,0,0,0,0,0,1,2
505,כאוכב אבו אל-היג',1901,1478,77.75,1463,15,0,0,0,1,340,0,592,0,0,0,1,0,0,1,1,6,0,0,0,0,0,515,3,0,0,0,0,0,1,0,0,1,0,1
1315,מתן,1841,1477,80.23,1463,14,232,0,10,1,0,23,1,7,2,7,0,0,0,652,113,267,116,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,9,14
3763,גבע בנימין,2047,1469,71.76,1447,22,41,0,33,17,0,2,0,3,1,188,0,0,0,112,160,598,9,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,272
41,אליכין,2081,1467,70.49,1456,11,132,0,152,27,0,7,0,3,6,37,0,0,0,245,77,437,12,3,0,0,0,2,1,0,1,1,0,4,0,6,0,0,3,300
47,כפר תבור,2071,1463,70.64,1457,6,348,0,27,1,0,9,2,9,4,25,0,0,1,553,88,272,57,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,12,38
3604,אלון שבות,1761,1457,82.74,1445,12,7,1,588,4,0,16,1,0,0,381,0,0,0,6,18,398,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,17
541,ג'סר א-זרקא,6453,1437,22.27,1418,19,56,1,1,1,97,8,160,2,1,2,3,0,0,13,3,10,118,0,0,5,2,907,2,0,1,1,2,2,6,2,1,2,5,4
46,יבנאל,2025,1379,68.1,1363,16,106,0,61,57,1,10,0,3,7,23,2,0,2,262,65,250,18,0,0,1,0,2,1,0,0,0,0,4,0,3,1,0,0,484
1284,נופית,1678,1359,80.99,1355,4,301,1,10,7,0,18,3,6,7,12,0,0,1,652,53,211,50,1,1,0,0,0,0,0,0,0,0,3,2,3,0,0,5,8
3770,חשמונאים,1708,1347,78.86,1344,3,5,0,233,20,0,7,0,1,0,424,0,0,0,10,18,474,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,144
518,מעיליא,2116,1344,63.52,1313,31,45,0,1,0,602,0,354,1,0,0,0,0,2,178,61,4,45,1,0,0,0,1,3,0,0,0,1,0,0,5,1,1,3,4
26,ראש פינה,1954,1323,67.71,1310,13,199,0,21,6,1,61,17,7,4,76,0,0,2,479,55,204,119,0,0,0,0,1,0,0,0,1,1,0,0,19,1,0,7,29
975,זרזיר,3686,1317,35.73,1267,50,94,0,36,0,123,1,72,1,1,1,2,1,3,116,12,116,49,0,2,3,2,588,0,0,2,3,2,3,6,4,2,1,2,19
939,מסעודין אל-עזאזמה,4400,1296,29.45,1246,50,6,0,0,1,9,2,6,1,1,1,0,1,6,23,5,7,5,1,2,0,1,1108,0,0,4,3,1,4,4,3,7,4,10,20
517,מזרעה,2234,1284,57.48,1263,21,6,0,1,0,375,0,501,2,0,2,2,0,0,23,3,2,62,0,0,2,0,258,1,0,0,0,1,1,4,2,0,5,3,7
944,בסמת טבעון,3908,1284,32.86,1240,44,63,0,21,2,183,0,79,22,2,4,4,2,0,45,5,27,35,4,0,1,0,685,17,0,5,2,0,3,6,1,2,5,3,12
525,סאג'ור,2237,1272,56.86,1261,11,350,0,0,0,81,0,3,0,0,1,0,0,0,198,264,238,4,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,117
1303,חורה,4300,1254,29.16,1190,64,16,1,3,2,95,0,300,0,7,8,2,1,2,13,8,21,30,1,4,1,1,645,1,0,0,1,2,1,1,2,2,2,1,16
998,ביר אל-מכסור,4566,1249,27.35,1217,32,73,1,43,1,343,0,104,2,0,2,0,0,1,107,4,19,10,0,0,1,0,468,1,0,6,0,11,2,1,2,0,2,0,13
3617,עופרה,1480,1241,83.85,1227,14,1,0,315,4,0,6,0,0,0,525,0,0,2,5,23,307,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,33
1286,שגב-שלום,2644,1209,45.73,1163,46,14,0,1,0,11,1,37,0,1,0,3,0,0,12,7,6,11,0,1,0,2,1021,1,0,1,6,0,1,2,4,2,5,2,11
1137,קרית יערים,1757,1204,68.53,1196,8,6,0,8,786,0,2,1,1,0,54,0,0,0,10,12,59,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,249
3638,כפר אדומים,1467,1187,80.91,1183,4,19,0,129,1,0,50,1,2,0,361,0,0,1,73,55,461,6,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,5,13
276,צור משה,1462,1176,80.44,1167,9,296,0,6,2,0,15,7,4,4,8,0,0,0,576,39,130,63,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,5,7
962,טובא-זנגריה,3261,1164,35.69,1121,43,53,1,0,15,290,2,172,2,2,0,1,0,2,68,7,7,26,1,0,0,2,425,0,0,1,2,1,1,1,1,1,3,1,33
978,כעביה-טבאש-חג'אג',2547,1130,44.37,1092,38,176,0,12,0,81,0,186,0,0,1,3,1,0,99,4,29,7,0,1,3,0,371,1,0,0,3,0,3,2,5,1,3,0,100
447,נורדיה,1540,1128,73.25,1120,8,177,1,10,3,0,8,0,8,1,14,1,0,1,482,64,283,29,0,0,0,0,0,11,0,0,0,4,1,0,5,0,0,11,6
1419,ניצן ב',1478,1126,76.18,1113,13,7,0,155,5,0,1,0,0,0,443,1,0,0,26,81,275,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,111
3660,עמנואל,1678,1114,66.39,1100,14,1,0,7,274,0,0,0,0,0,203,0,0,0,4,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
326,בית יצחק-שער חפר,1418,1106,78.0,1102,4,321,0,10,2,0,10,5,7,1,1,0,0,0,507,36,113,68,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,7,6
1274,גן נר,1577,1087,68.93,1080,7,136,0,14,3,0,15,1,2,2,20,0,0,0,405,131,282,39,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,22
267,כפר שמריהו,1643,1085,66.04,1072,13,205,3,4,2,0,8,5,4,1,13,1,0,2,528,33,167,87,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
1264,כרמי יוסף,1406,1064,75.68,1060,4,230,0,4,1,1,23,8,1,6,15,0,0,0,462,31,178,91,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,4
3765,עלי,1417,1064,75.09,1054,10,4,0,308,6,0,0,0,0,1,374,0,0,0,17,58,197,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,82
1310,לפיד,1342,1054,78.54,1047,7,168,0,17,3,0,16,5,0,1,17,0,0,0,423,44,255,65,0,1,0,0,0,0,0,0,1,1,1,1,7,0,0,2,19
1337,שמשית,1250,1026,82.08,1022,4,262,0,8,0,0,17,4,1,0,9,0,0,0,463,27,113,97,0,0,0,0,0,4,0,0,0,2,1,0,2,0,0,4,8
913,שבלי - אום אל-גנם,3028,1016,33.55,994,22,138,0,5,0,309,0,43,0,0,3,1,0,0,15,1,19,84,0,1,1,0,346,0,0,0,1,1,5,4,0,0,3,0,14
1333,נוף איילון,1162,1000,86.06,999,1,0,0,341,28,0,2,0,0,0,432,0,0,0,5,6,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
1293,גבעת אבני,1413,988,69.92,986,2,137,0,24,3,0,4,1,7,2,29,0,0,2,345,98,213,18,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,2,96
577,יד בנימין,1112,981,88.22,979,2,1,0,177,37,0,0,0,1,0,404,1,0,0,3,15,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,213
1098,מרכז שפירא,1179,975,82.7,967,8,8,0,405,3,0,8,0,1,0,195,0,0,0,12,13,184,2,0,2,0,0,0,1,0,0,0,0,2,0,1,0,1,0,129
526,סולם,1533,954,62.23,944,10,14,0,0,0,484,0,130,0,0,5,0,0,0,12,1,1,25,0,0,1,0,227,0,0,1,0,1,1,4,0,1,0,0,36
1288,גבעת אלה,1358,952,70.1,948,4,209,2,5,0,0,22,5,2,3,8,1,0,1,419,34,117,106,0,0,0,0,0,1,0,0,0,0,2,0,7,0,0,2,2
635,מוקייבלה,1684,929,55.17,917,12,3,0,1,0,189,0,155,0,0,2,5,0,0,2,1,41,1,0,0,0,0,501,0,0,0,0,0,0,1,0,0,0,0,15
694,מעגן מיכאל,1306,927,70.98,922,5,411,0,4,0,0,33,4,3,4,7,0,0,1,257,21,22,129,0,0,0,0,0,1,0,1,0,0,1,0,14,0,0,8,1
1244,תמרת,1245,926,74.38,916,10,292,0,4,0,0,27,6,4,2,10,0,0,0,347,29,89,91,0,0,0,0,0,1,0,0,0,1,2,0,4,0,0,5,2
3641,שילה,1171,923,78.82,916,7,0,0,89,2,0,3,0,0,0,647,0,0,2,2,9,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
658,שייח' דנון,1380,907,65.72,877,30,56,0,0,0,372,0,86,0,0,1,0,0,0,4,0,1,3,0,0,1,0,344,0,0,1,0,1,1,2,0,1,1,1,1
190,כפר ויתקין,1183,906,76.58,902,4,308,0,4,0,0,17,6,2,0,0,0,1,1,399,21,63,64,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,6
1199,עדי,1141,898,78.7,892,6,138,0,5,3,0,7,2,6,3,4,0,0,2,444,68,170,23,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,3,7
147,גבעת ברנר,1312,894,68.14,885,9,422,0,3,1,0,16,6,3,2,0,1,0,0,213,21,49,123,0,0,0,0,0,0,0,1,0,4,0,1,9,1,0,4,5
3796,כפר האורנים,1071,893,83.38,886,7,163,0,14,4,0,23,0,5,1,19,0,0,1,393,26,179,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4
96,יגור,1223,871,71.22,866,5,478,0,0,0,0,26,3,4,2,3,0,0,2,221,21,27,68,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3
963,אעצם (שבט),2965,867,29.24,837,30,9,0,2,2,19,1,5,0,3,1,14,2,1,8,1,9,14,2,0,3,3,693,1,0,7,3,2,3,0,2,5,2,4,16
633,כפר ברא,1415,839,59.29,839,0,22,0,0,0,115,1,184,0,0,0,0,0,0,29,7,0,13,0,0,1,0,464,0,0,0,0,0,0,1,1,1,0,0,0
3788,טלמון,887,824,92.9,822,2,0,0,150,2,0,2,0,0,0,522,0,0,0,0,5,118,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
535,פסוטה,2188,807,36.88,800,7,53,0,19,0,222,0,174,6,0,3,0,0,0,112,2,6,68,0,0,0,0,6,0,0,0,1,0,0,3,10,0,0,0,115
158,נען,1097,788,71.83,782,6,382,0,3,0,0,14,1,3,6,1,0,0,0,248,22,24,65,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,2,3
3725,נווה דניאל,939,779,82.96,777,2,0,0,203,1,0,7,1,0,0,257,0,0,0,5,21,263,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13
1050,בית חשמונאי,1030,775,75.24,770,5,92,0,13,0,0,8,1,0,1,9,0,0,0,244,65,280,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,24
43,מטולה,1224,773,63.15,769,4,115,0,13,5,0,19,7,0,6,7,0,0,0,324,64,132,48,0,0,0,1,0,0,0,0,0,0,3,0,6,1,1,11,6
3563,תקוע,1032,757,73.35,751,6,2,0,112,4,0,17,0,2,1,232,0,0,0,6,79,265,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,23
615,קדרון,960,751,78.23,750,1,199,0,8,2,0,16,1,6,2,8,0,0,0,342,28,71,54,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,4,2
3659,פסגות,852,740,86.85,736,4,0,1,173,1,0,4,0,0,0,421,0,0,0,2,5,99,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25
1186,הושעיה,919,730,79.43,727,3,14,0,311,4,0,34,0,2,1,74,0,0,0,40,17,204,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18
487,ג'ש (גוש חלב),2043,729,35.68,705,24,47,0,2,0,147,0,187,0,0,0,1,0,0,121,22,11,24,1,1,0,0,132,0,0,0,0,1,0,0,2,2,1,1,2
3618,אלעזר,841,725,86.21,723,2,5,0,147,1,0,9,0,0,0,272,0,0,0,3,20,249,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
386,בני דרור,983,724,73.65,715,9,165,0,8,2,0,6,1,4,1,4,0,0,0,323,21,115,50,0,0,0,0,0,1,0,0,1,0,0,1,4,0,1,2,5
3576,מצפה יריחו,893,718,80.4,716,2,1,0,169,7,0,2,0,0,0,426,0,0,0,1,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24
3564,כוכב השחר,818,707,86.43,705,2,0,0,94,2,0,2,0,0,0,518,0,0,0,1,6,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27
763,שתולים,1020,700,68.63,696,4,55,0,26,24,0,3,0,1,1,35,0,0,0,171,50,255,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,60
206,רמות השבים,921,696,75.57,690,6,154,2,1,6,0,12,5,2,1,3,0,0,2,342,11,68,69,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,4,3
652,אבטין,1340,695,51.87,691,4,5,0,0,2,165,1,47,0,0,5,0,1,0,5,0,3,2,0,0,1,0,438,7,0,0,1,0,1,0,1,0,1,0,5
3654,ברקן,941,694,73.75,691,3,18,0,5,1,1,2,0,1,1,37,0,0,1,116,127,362,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,8
176,אפיקים,1011,688,68.05,678,10,353,0,2,0,0,15,2,2,1,5,0,0,1,173,31,26,43,0,0,1,0,0,1,0,0,0,1,5,0,7,0,0,8,1
1330,אחוזת ברק,896,682,76.12,678,4,100,0,8,1,0,2,1,1,0,10,0,0,0,256,78,173,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,11
961,אבו רוקייק (שבט),3393,678,19.98,654,24,6,0,1,1,4,0,4,0,1,0,5,0,2,2,1,5,2,0,1,0,0,594,0,0,1,4,0,1,6,2,2,3,2,4
29,יסוד המעלה,989,678,68.55,670,8,142,0,17,2,0,14,2,6,0,28,0,0,1,264,32,128,24,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2
241,יקנעם (מושבה),911,678,74.42,675,3,140,0,15,3,0,32,2,5,2,6,0,0,0,309,20,63,62,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,5
709,תפרח,813,677,83.27,674,3,0,0,5,517,0,0,1,1,0,4,0,0,0,6,3,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111
797,אחיעזר,883,677,76.67,676,1,3,0,139,18,0,3,0,1,0,20,0,0,0,16,10,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
175,אביחיל,884,675,76.36,671,4,210,1,11,1,0,14,1,0,2,6,0,0,1,253,19,87,44,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,7,3
710,בית זית,914,664,72.65,663,1,126,0,8,5,0,46,14,5,1,14,1,0,1,225,25,95,75,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,4,13
449,נחלים,763,664,87.02,657,7,4,0,342,9,0,5,0,2,0,130,0,0,0,11,5,128,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,17
1226,יובלים,858,664,77.39,664,0,190,0,7,0,0,35,4,0,0,4,0,0,0,278,19,51,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
382,מכמורת,986,661,67.04,659,2,181,4,5,1,0,23,5,2,0,8,0,1,1,259,23,65,65,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,4,5
331,ניר צבי,816,656,80.39,649,7,133,0,5,1,0,13,3,4,4,1,0,0,0,298,36,97,40,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,9
157,עין ורד,818,656,80.2,650,6,229,0,1,0,0,7,5,1,1,3,0,0,1,283,32,51,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
162,חירות,774,656,84.75,652,4,225,0,5,0,0,16,4,2,4,4,0,0,0,281,14,47,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
591,עשרת,829,651,78.53,645,6,138,0,4,0,0,13,1,3,1,11,1,0,1,310,18,80,55,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,2
187,כפר הס,825,647,78.42,645,2,213,0,2,0,0,12,2,6,2,2,0,0,0,269,21,56,55,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0
562,בית אלעזרי,879,646,73.49,643,3,106,0,4,4,0,5,3,3,1,14,1,0,0,256,43,153,27,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,5,11
1236,נירית,796,635,79.77,631,4,129,0,4,1,0,15,4,5,3,3,0,0,1,287,29,75,54,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,5
574,גשר הזיו,902,632,70.07,632,0,164,0,1,0,0,21,3,2,2,1,0,0,1,240,40,90,51,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,4,7
242,בית השיטה,910,625,68.68,623,2,351,0,1,0,0,7,0,4,1,8,2,0,0,149,26,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3579,אלון מורה,795,625,78.62,621,4,0,1,33,2,0,0,0,0,0,476,0,0,0,2,10,64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30
173,גבעת חיים (מאוחד),853,624,73.15,621,3,283,0,3,1,0,11,3,1,1,4,0,0,1,203,17,21,62,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,4
1245,סלמה,1484,622,41.91,605,17,24,1,5,0,32,0,48,1,6,0,1,0,2,55,0,33,4,1,0,0,1,365,0,0,1,0,0,0,1,1,2,2,0,19
497,טייבה (בעמק),847,621,73.32,614,7,28,1,0,1,435,0,10,0,0,1,0,0,0,5,2,1,2,0,0,1,0,123,0,0,0,0,1,0,0,0,2,0,0,1
65,מגדל,1056,619,58.62,618,1,31,0,26,2,2,1,0,4,1,31,0,0,0,101,60,192,7,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,155
232,שפיים,815,618,75.83,617,1,308,0,0,3,0,3,2,0,1,1,0,0,1,199,8,32,46,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,7,0
3644,גבעון החדשה,864,615,71.18,606,9,34,0,9,2,0,3,0,1,1,35,0,4,0,143,97,236,9,2,5,0,0,1,1,0,2,0,0,3,0,4,2,0,3,9
661,שער אפרים,824,609,73.91,597,12,53,0,11,2,0,5,0,3,2,9,0,0,1,214,47,178,11,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,4,53
72,גן שמואל,820,608,74.15,607,1,112,0,0,0,0,7,7,0,0,0,0,0,0,143,4,8,318,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
858,נווה ירק,748,606,81.02,603,3,127,0,2,2,0,8,1,1,1,3,0,0,0,308,20,91,29,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,2,1
686,נווה ימין,856,603,70.44,599,4,59,1,4,4,0,3,1,3,1,7,0,0,0,157,60,245,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,43
177,כפר ביל ו,763,601,78.77,596,5,195,0,1,2,0,10,2,6,5,5,0,0,0,225,23,73,39,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3
249,כפר סירקין,756,600,79.37,597,3,121,0,4,4,0,10,4,5,2,7,0,0,0,291,17,90,20,0,0,0,1,0,1,0,0,0,2,2,0,1,0,0,8,7
880,עין שריד,840,599,71.31,592,7,71,1,5,40,0,5,4,0,1,7,0,0,0,224,26,139,31,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,6,27
284,שדה ורבורג,773,598,77.36,593,5,133,0,2,1,1,8,5,1,1,3,0,0,1,281,19,77,54,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
524,נאעורה,1060,596,56.23,592,4,26,0,0,0,413,1,24,0,0,2,0,1,0,3,0,0,8,0,0,1,0,102,1,0,0,0,2,7,0,0,0,1,0,0
3608,מעלה אפרים,1210,594,49.09,585,9,22,0,8,1,1,6,0,6,0,60,0,0,0,145,107,176,7,1,0,0,0,0,0,0,0,0,0,2,0,9,0,1,7,26
